Category,Product,Option,"Website code","Website price","Notes / question"
"DONE - REMOVED FROM SITE","AA15 Grey Line Oak","full roll - 1220mm x 50 mtr","Cover Styl' AA15-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AA15 Grey Line Oak","part roll - price per mtr at 1220mm","Cover Styl' AA15-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AF03 Line Beige Pine","full roll - 1220mm x 50 mtr","Cover Styl' AF03-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AF03 Line Beige Pine","part roll - price per mtr at 1220mm","Cover Styl' AF03-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AG20 Cream Pine","full roll - 1220mm x 50 mtr","Cover Styl' AG20-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AG20 Cream Pine","part roll - price per mtr at 1220mm","Cover Styl' AG20-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL11 Silver Metal Weaving","full roll - 1220mm x 50 mtr","Cover Styl' AL11-sz02",1922.4,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL11 Silver Metal Weaving","part roll - price per mtr at 1220mm","Cover Styl' AL11-sz01",42.72,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL14 Traditional Oak","full roll - 1220mm x 50 mtr","Cover Styl' AL14-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL14 Traditional Oak","part roll - price per mtr at 1220mm","Cover Styl' AL14-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
