original_sku,assigned_sku,name,xcat,pricemap_key,MY_SUGGESTION,SUGGESTION_NOTES,SUGGESTED_ATTRIBUTE_NAME,SUGGESTED_ATTRIBUTE_VALUE,SUGGESTED_NEW_SKU,YOUR_DECISION,YOUR_NOTES
13142S,13142S-v1,ASLAN SE71 Aurora Opaque Dichroic Film,"Colour_Change_Films, Christmas_Films",DEFAULT-13142SPET_Aurora-DEFAULT-13142SPET_Aurora,SUGGEST_MERGE_AS_VARIATION,"PET-backed version of the Aurora film. Same product, different substrate. Merge as variable with Substrate attribute.",Substrate,PET-backed,,,
13142S,13142S-v2,ASLAN SE71 Aurora Opaque Dichroic Film,"Colour_Change_Films, Christmas_Films",DEFAULT-13142S_Aurora-DEFAULT-13142S_Aurora,SUGGEST_MERGE_AS_VARIATION,Standard (non-PET) version. Merge as variable with Substrate attribute.,Substrate,Standard,,,
13143S,13143S-v1,ASLAN SE71 Alpha Opaque Dichroic Film,"Colour_Change_Films, Christmas_Films",DEFAULT-13143SPET_Alpha-DEFAULT-13143S_Alpha,SUGGEST_MERGE_AS_VARIATION,PET-backed version. Pricemap key suffix '_Alpha' vs 'PET_Alpha' confirms two substrates.,Substrate,PET-backed,,,
13143S,13143S-v2,ASLAN SE71 Alpha Opaque Dichroic Film,"Colour_Change_Films, Christmas_Films",DEFAULT-13143S_Alpha-DEFAULT-13143S_Alpha,SUGGEST_MERGE_AS_VARIATION,Standard (non-PET) version.,Substrate,Standard,,,
4520,4520-v1,Ritrama Ri-Jet M150 White Static Cling Vinyl,Digital_Print_Window_Film,DEFAULT-45201400-DEFAULT-White_Static_Cling_1400,SUGGEST_SPLIT_NEW_SKU,"Different brand (Ritrama), different pricemap key (45201400 vs White_Static_Cling_*). Should have its own SKU. Suggested: RJET-M150. The remaining 3 rows (generic + 685mm + 1370mm) should merge as a variable product.",,,RJET-M150,,
4520,4520-v2,White Static Cling Vinyl,Digital_Print_Window_Film,DEFAULT-White_Static_Cling-DEFAULT-White_Static_Cling,SUGGEST_MERGE_AS_VARIATION,Generic / parent description row. Keep as variable product parent once Ritrama row is split out.,Width,Standard Roll,,,
4520,4520-v3,White Static Cling Vinyl  :: 685mm Width,Static_Cling,DEFAULT-White_Static_Cling_0685-DEFAULT-White_Static_Cling_0685,SUGGEST_MERGE_AS_VARIATION,Width variant. Merge with parent 4520.,Width,685mm,,,
4520,4520-v4,White Static Cling Vinyl :: 1370mm Width,Static_Cling,DEFAULT-White_Static_Cling_1370-DEFAULT-White_Static_Cling_1370,SUGGEST_MERGE_AS_VARIATION,Width variant. Merge with parent 4520.,Width,1370mm,,,
900E,900E-v1,900E Medium Tack Paper Application Tape. Roll size 1220mm x 91.4m,Paper_Application_Tape,DEFAULT-900EMT1220-DEFAULT-900EMT1220,SUGGEST_MERGE_AS_VARIATION,Full roll (1220mm x 91.4m). Merge as variable product with Roll Size attribute.,Roll Size,1220mm x 91.4m Full Roll,,,
900E,900E-v2,900E Medium Tack Application Tape :: Part Roll,,DEFAULT-900EMTPART-DEFAULT-900EMTPART,SUGGEST_MERGE_AS_VARIATION,Part roll option. Merge with full-roll row as a variation. xcat is blank — confirm category.,Roll Size,Part Roll,,,
903,903-v1,903 Medium Tack Clear Filmic Application Tape,Clear_Application_Tape,DEFAULT-903C1220-DEFAULT-903C1220,SUGGEST_MERGE_AS_VARIATION,Full roll (1220mm). This row has the category — use it as the parent description.,Roll Size,Full Roll,,,
903,903-v2,903 Clear 100 micron Application Tape :: Part Roll,,DEFAULT-903CPART-DEFAULT-903CPART,SUGGEST_MERGE_AS_VARIATION,Part roll option. xcat blank — parent row above carries the category. Merge as variation.,Roll Size,Part Roll,,,
BUNG,BUNG-v1,Pack of 12 White Banner Bungees,Banner_Fixings,DEFAULT-Banner_Bungees-DEFAULT-Banner_Bungees,SUGGEST_MERGE_AS_VARIATION,Colour variant. Merge as variable product with Colour attribute.,Colour,White,,,
BUNG,BUNG-v2,Pack of 12 Black Banner Bungees,Banner_Fixings,DEFAULT-Banner_Bungees_Black-DEFAULT-Banner_Bungees_Black,SUGGEST_MERGE_AS_VARIATION,Colour variant. Merge with White row.,Colour,Black,,,
46525,46525-v1,Banner Hemming Tape,Banner_Fixings,DEFAULT-Banner_Hemming_Tape-DEFAULT-Banner_Hemming_Tape,SUGGEST_SPLIT_NEW_SKU,Completely different product wrongly assigned SKU 46525. Doro-Fix 465 is a double-sided tape; Banner Hemming Tape is a separate product. Assign new SKU. Suggested: HEMTAPE.,,,HEMTAPE,,
46525,46525-v2,Doro-Fix 465 :: 25mm x 50m,3225_DF465,DEFAULT-DF465_025-DEFAULT-DF465_025,SUGGEST_MERGE_AS_VARIATION,Width variant of Doro-Fix 465. Merge with 50mm row as variable product.,Width,25mm x 50m,,,
46525,46525-v3,Doro-Fix 465 :: 50mm x 50m,3225_DF465,DEFAULT-DF465_050-DEFAULT-DF465_050,SUGGEST_MERGE_AS_VARIATION,Width variant of Doro-Fix 465. Merge with 25mm row.,Width,50mm x 50m,,,
CANUNI,CANUNI-v1,Art Grade Cotton Canvas :: 500mm x 15m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Artist_Canvas-DEFAULT-BN-20_Digital_Artist_Canvas,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll (500mm x 15m). Merge with Universal Canvas as variable product.,Format,500mm x 15m (Roland BN-20),,,
CANUNI,CANUNI-v2,Universal Canvas,"Digital_Print_Canvas, Digital_Print_Fabric, PVC_Free_Media",DEFAULT-Universal_Canvas-DEFAULT-Universal_Canvas,SUGGEST_MERGE_AS_VARIATION,Standard roll. Has correct category set. Use as parent product; narrow roll is the variation.,Format,Standard Roll,,,
