"id","name","class","version","app","type","description"
"cms.CMS","Component Base","CMS","9.1.0","cms","APP","The component base module provides a generic base class for modules to extend."
"cms.CMS_Content","Content Management","CMS_Content","9.1.0","cms","MODULE","The content management module prodvides content management functions for user defined XHTML pages."
"cms.CMS_DemoSite","Demo Site","CMS_DemoSite","9.0.0","cms","MODULE","The demo site module provides no logic or code.  What is does provide is data for the demo site installed initially with the program.  This module may be updated but it's version number will not change so as to prevent demo data from being downloaded into previously installed sites."
"cms.CMS_DynForm","Dynamic Forms","CMS_DynForm","9.1.0","cms","MODULE","The dynamic forms module prodvides content management functions for user created forms."
"cms.XMOD_Articles","Articles","XMOD_Articles","9.2.0","cms","MODULE","The articles module prodvides management functions for user created articles."
"core.CORE","Component Base","CORE","9.1.0","core","CORE","The component base module provides a generic base class for modules to extend.  All modules installed with this software extend this base class."
"core.CORE_App","Application","CORE_App","9.1.0","core","CORE","The application module provides a generic interface for components launched by the core.  It handles component startup, execution and shutdown."
"core.CORE_BackEnd","Management Interface","CORE_BackEnd","9.1.0","core","CORE","The management interface module provides an interface for all administrative tasks."
"core.CORE_Cron","Cron","CORE_Cron","9.0.2","core","CORE","The cron module provides functionality for running automated daily and weekly cron-based tasks which include database and filesystem cleanup."
"core.CORE_Crypt","Encryption","CORE_Crypt","9.1.0","core","CORE","The encryption module provides an interface for encrypting and decrypting ASCII data using a HCE cipher.  The encrypted strings are MD5 encoded for portability."
"core.CORE_DB","Database","CORE_DB","9.0.3","core","CORE","The database module provides a generic interface for database interaction with a variety of database backends including MySQL, PostgreSQL and SQLite."
"core.CORE_DBTools","Database Tools","CORE_DBTools","9.0.2","core","CORE","The database tools module provides various database table and data interfaces that allow the software to easily manipulate database table structures and data."
"core.CORE_Display","Display","CORE_Display","9.1.0","core","CORE","The display module provides interfaces for display skin inclusion, display include file execution and output buffering."
"core.CORE_Error","Error","CORE_Error","9.0.0","core","CORE","The error module provides functions for printing system errors to the display.  It is used internally by components and modules and externally by the PHP trigger_error() function."
"core.CORE_File","File","CORE_File","9.1.0","core","CORE","The file module provides filesystem interfaces for working with files and directories.  This includes create, update and delete functions."
"core.CORE_Form","Form Handler","CORE_Form","9.1.0","core","CORE","The form handler module provides interfaces for creating and validating XHTML forms."
"core.CORE_FrontEnd","FrontEnd Interface","CORE_FrontEnd","9.1.0","core","CORE","The frontend interface module provides an interface for end-user frontend tasks."
"core.CORE_Installer","Installer","CORE_Installer","9.0.2","core","CORE","The installer module provides installation functions for components and modules."
"core.CORE_JSLib","JavaScript Library","CORE_JSLib","9.1.0","core","CORE","The javascript library module provides JavaScript library functions for the software."
"core.CORE_Mail","Mail","CORE_Mail","9.1.0","core","CORE","The mail module provides interfaces for sending email messages.  It is capable of sending messages in HTML format as well as text format (or both)."
"core.CORE_Remote","Remote","CORE_Remote","9.1.0","core","CORE","The remote module provides functions that work with the PHP cURL extension to provide remote access to files and programs on the Internet."
"core.CORE_Session","Session","CORE_Session","9.1.0","core","CORE","The session module provides session management and cookie functionality."
"core.CORE_SiteMap","SiteMap","CORE_SiteMap","9.1.0","core","CORE","The SiteMap module provides a user viewable map of the site, and provides a SiteMap in XML format for search engines."
"core.CORE_XML","XML","CORE_XML","9.0.0","core","CORE","The core XML module provides a standalone XML parser.  The parser does not require expat or any other C-based PHP extension modules."
"core.XMOD_MailChimp","Extension Module: MailChimp","XMOD_MailChimp","9.0.2","core","MODULE","The MailChimp extension module provides a connection between Mail Chimp and the Email List function."
"ecom.ECOM","Component Base","ECOM","9.1.0","ecom","APP","The component base module provides a generic base class for modules to extend."
"ecom.ECOM_Accounting","Accounting","ECOM_Accounting","9.1.0","ecom","MODULE","The Accounting module provides an interface for interacting with accounting software packages."
"ecom.ECOM_Cart","Shopping Cart","ECOM_Cart","9.1.0","ecom","MODULE","The shopping cart module provides shopping cart functionality and pre-checkout order functions."
"ecom.ECOM_Cat","Categories","ECOM_Cat","9.1.0","ecom","MODULE","The categories module provides category display functionality."
